spotify_id,name,uri,artist,acousticness,danceability,energy,instrumentalness,tempo,valence
63wsZUhUZLlh1OsyrZq7sz,Fast Car,spotify:track:63wsZUhUZLlh1OsyrZq7sz,Boyce Avenue,0.807,0.392,0.251,0,204.961,0.508
4LloVtxNZpeh7q7xdi1DQc,"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",spotify:track:4LloVtxNZpeh7q7xdi1DQc,John Mayer,0.771,0.315,0.296,0,173.509,0.435
46SFeuNs1K5D76D9vCwFuR,Shake It,spotify:track:46SFeuNs1K5D76D9vCwFuR,Metro Station,0.00212,0.619,0.958,2.23e-06,150.025,0.819
78DwRIo6Vj6wqteyerGetr,The Heart of Life,spotify:track:78DwRIo6Vj6wqteyerGetr,John Mayer,0.958,0.495,0.238,0.0118,175.958,0.357
5eK5xQl8EGzR5zYkxaDCAn,Be My Escape,spotify:track:5eK5xQl8EGzR5zYkxaDCAn,Relient K,0.00605,0.553,0.864,0,112.51,0.298
5yyRH93h4Pm6tXXYTxt7ea,The Blower's Daughter,spotify:track:5yyRH93h4Pm6tXXYTxt7ea,Damien Rice,0.134,0.342,0.2,0.000153,133.113,0.0743
2tKqZsc0epdLrsNUT6y0Ls,Princess of China - Acoustic,spotify:track:2tKqZsc0epdLrsNUT6y0Ls,Coldplay,0.652,0.245,0.471,0.00717,165.996,0.287
23khhseCLQqVMCIT1WMAns,Magic,spotify:track:23khhseCLQqVMCIT1WMAns,Coldplay,0.0266,0.738,0.482,0.621,93.457,0.352
77loZpT5Y5PRP1S451P9Yz,The Reason,spotify:track:77loZpT5Y5PRP1S451P9Yz,Hoobastank,0.0129,0.472,0.671,0,82.952,0.0681
2QhURnm7mQDxBb5jWkbDug,Don't Panic,spotify:track:2QhURnm7mQDxBb5jWkbDug,Coldplay,0.206,0.602,0.612,0.00607,122.062,0.453
2nvC4i2aMo4CzRjRflysah,In My Place,spotify:track:2nvC4i2aMo4CzRjRflysah,Coldplay,0.0553,0.424,0.588,4.95e-06,144.636,0.193
0QRxsyyr6FVY99ZUkaQSOt,How To Be Dead,spotify:track:0QRxsyyr6FVY99ZUkaQSOt,Snow Patrol,0.271,0.585,0.632,0.0235,91.019,0.422
5vgtuXHfHx9uPWliHlNN5O,Inside Your Head,spotify:track:5vgtuXHfHx9uPWliHlNN5O,Eberg,0.0396,0.682,0.712,0.0234,124.037,0.374
4nUrNul2oNVra6YAjigenk,Feeling A Moment,spotify:track:4nUrNul2oNVra6YAjigenk,Feeder,0.0199,0.261,0.66,0.0127,166.68,0.198
74tjxbbaErZPocRtItsuWN,Ride,spotify:track:74tjxbbaErZPocRtItsuWN,Cary Brothers,0.126,0.496,0.674,0.000333,117.98,0.196
4yamwgrJhUOzQQSFgQCJu1,Song for No One,spotify:track:4yamwgrJhUOzQQSFgQCJu1,Ian Broudie,0.179,0.574,0.606,0.0164,98.005,0.534
1GqedBxYLb9QVdq3MKzIuY,Elusive,spotify:track:1GqedBxYLb9QVdq3MKzIuY,Scott Matthews,0.95,0.476,0.201,0.0509,146.768,0.273
